ProductID,Title,Description,Reference,CostExGST,GST,DisbursementID,CostCenter,GLCode,TaxCode,Narrative,OnlineServiceCode,AllowChanges,BillingDetailsNameRequired,BillingDetailsPostRequired,BillingDetailsEmailRequired,BillingDetailsPhoneRequired,BillingDetailsFaxRequired,DeliveryPost,DeliveryEmail
8758538f-3453-4516-81c3-dafccf00e926,Nominated immigrants 1908-1922,Nominated immigrants 1908-1922,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
de2ba57d-c76e-4094-906f-1e84c30d41f2,"Nominated immigrants, Maryborough 1904 to 1907","Nominated immigrants, Maryborough 1904 to 1907",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
a9858956-d518-4dc1-a794-11d26de36e7a,Nurses examinations 1912-1925,Nurses examinations 1912-1925,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
fc89a741-eb3e-43c5-9cf7-a9cb2ffc0bb2,Oronsay immigration 1925-1972,Oronsay immigration 1925-1972,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
861b684c-c1c3-4a01-b29c-6c96e70c9a89,Passage certificates 1887-1906,Passage certificates 1887-1906,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
40f614b8-ec49-4e8f-8eba-92f14b343370,Passport clearances 1923-1940,Passport clearances 1923-1940,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
4bd694ca-2521-44e9-b91e-91f33dda1fbe,"Prisoners admitted, Toowoomba 1895 to 1906","Prisoners admitted, Toowoomba 1895 to 1906",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ea1ca086-03eb-4d16-acb0-47da108f50c3,"Prisoners discharged, Toowoomba 1869-1879","Prisoners discharged, Toowoomba 1869-1879",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
d4b51b68-fe38-4100-a829-d8ee5d986b71,"Prisoners tried, Toowoomba 1864 to 1903","Prisoners tried, Toowoomba 1864 to 1903",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
cb3ee58c-fcff-4bbb-8d1d-b27cfb8c22a7,"Rations issued to immigrants, Maryborough 1875-1884","Rations issued to immigrants, Maryborough 1875-1884",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
d6a4247d-5154-4781-ae5b-f71c075bff22,Register of court fees 1885-1908,Register of court fees 1885-1908,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
4a4bae91-f498-4e61-ad84-1d94d5eeb533,Register of Immigrants 1864-1878,Register of Immigrants 1864-1878,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0407ddf3-ec3b-4e60-b4cd-ff4e9ca9c210,"Register of immigrants, Toowoomba, 1880-1888","Register of immigrants, Toowoomba, 1880-1888",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
269aac46-7d3b-4f04-a1e8-009a2fa5a2e4,Register of land sold 1842-1859,Register of land sold 1842-1859,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
